  VENTA  ;FECHA
 552,191,427 ;2/12/2019 0:00
 460,762,482 ;18/01/2019 0:00
 331,814,342 ;16/07/2018 0:00
 702,655,719 ;29/03/2018 0:00
 817,541,603 ;20/10/2019 0:00
 831,786,932 ;15/12/2018 0:00
 379,501,224 ;29/08/2019 0:00
 367,820,847 ;11/05/2018 0:00
 738,143,319 ;19/08/2018 0:00
 1,278,215,175 ;24/12/2018 0:00
 355,819,100 ;8/10/2018 0:00
 653,007,426 ;7/01/2019 0:00
 294,195,317 ;25/09/2019 0:00
 504,761,636 ;12/07/2019 0:00
 386,081,330 ;3/08/2018 0:00
 710,631,200 ;18/02/2018 0:00
 486,515,057 ;19/07/2019 0:00
 562,801,149 ;26/06/2019 0:00
 883,732,734 ;5/05/2019 0:00
 890,626,106 ;13/10/2019 0:00
 796,940,171 ;17/02/2019 0:00
 335,842,283 ;22/08/2019 0:00
 327,681,407 ;4/05/2018 0:00
 457,342,136 ;4/10/2019 0:00
 329,657,376 ;18/05/2018 0:00
 497,780,414 ;9/12/2019 0:00
 328,332,269 ;1/08/2018 0:00
 700,460,985 ;1/06/2019 0:00
 767,988,395 ;24/06/2019 0:00
 652,034,396 ;31/12/2018 0:00
 454,249,199 ;9/01/2019 0:00
 274,560,296 ;23/09/2019 0:00
 297,068,847 ;14/11/2019 0:00
 304,128,410 ;14/06/2018 0:00
 1,074,900,759 ;12/05/2019 0:00
 338,073,462 ;18/07/2018 0:00
 372,579,998 ;5/11/2019 0:00
 707,673,867 ;18/05/2019 0:00
 651,104,705 ;3/02/2018 0:00
 348,845,405 ;27/04/2018 0:00
 692,910,608 ;22/07/2018 0:00
 557,808,438 ;30/10/2018 0:00
 258,150,989 ;20/02/2018 0:00
 778,310,142 ;5/08/2018 0:00
 231,590,247 ;13/11/2018 0:00
 633,069,192 ;25/08/2018 0:00
 414,425,789 ;6/08/2018 0:00
 339,768,986 ;27/08/2019 0:00
 566,316,468 ;28/03/2018 0:00
 623,300,528 ;23/02/2019 0:00
 446,727,501 ;17/05/2019 0:00
 798,672,147 ;14/10/2018 0:00
 502,927,269 ;6/07/2018 0:00
 513,178,515 ;15/04/2019 0:00
 796,228,493 ;3/06/2019 0:00
 403,984,488 ;3/07/2018 0:00
 759,870,777 ;4/02/2018 0:00
 903,830,562 ;17/11/2019 0:00
 309,736,725 ;26/08/2019 0:00
 758,288,372 ;20/01/2019 0:00
 799,319,597 ;10/03/2019 0:00
 348,955,742 ;25/07/2019 0:00
 631,615,416 ;21/06/2019 0:00
 903,930,491 ;13/05/2018 0:00
 668,168,877 ;27/10/2018 0:00
 341,631,108 ;10/07/2018 0:00
 384,777,354 ;20/11/2019 0:00
 515,120,367 ;12/03/2018 0:00
 427,490,079 ;20/06/2018 0:00
 1,053,454,707 ;16/06/2019 0:00
 662,594,348 ;1/04/2018 0:00
 714,108,819 ;1/01/2019 0:00
 920,702,468 ;23/12/2018 0:00
 341,263,475 ;21/08/2019 0:00
 371,351,081 ;25/04/2019 0:00
 675,727,529 ;30/03/2018 0:00
 498,340,164 ;30/08/2019 0:00
 722,315,832 ;2/02/2019 0:00
 673,453,842 ;17/11/2018 0:00
 268,234,340 ;13/05/2019 0:00
 898,782,188 ;31/03/2019 0:00
 868,555,145 ;8/07/2018 0:00
 645,175,571 ;20/08/2018 0:00
 604,869,738 ;21/12/2018 0:00
 623,902,101 ;10/02/2018 0:00
 760,227,405 ;13/07/2019 0:00
 255,619,473 ;21/10/2019 0:00
 264,497,688 ;23/10/2018 0:00
 294,792,375 ;20/05/2019 0:00
 375,392,348 ;22/11/2019 0:00
 682,626,611 ;12/11/2018 0:00
 319,630,382 ;20/02/2019 0:00
 357,288,935 ;1/10/2019 0:00
 297,213,594 ;26/07/2018 0:00
 367,463,136 ;21/09/2018 0:00
 734,919,569 ;8/04/2018 0:00
 789,827,915 ;1/05/2018 0:00
 687,282,105 ;26/12/2019 0:00
 833,343,392 ;9/06/2019 0:00
 658,494,854 ;19/10/2019 0:00
 809,958,446 ;24/03/2019 0:00
 277,273,572 ;2/04/2019 0:00
 284,136,942 ;14/03/2018 0:00
 257,807,928 ;18/10/2018 0:00
 711,162,795 ;7/01/2018 0:00
 945,163,427 ;23/03/2018 0:00
 469,345,778 ;1/03/2019 0:00
 400,455,513 ;17/01/2019 0:00
 1,790,860,671 ;1/07/2018 0:00
 456,496,077 ;9/08/2019 0:00
 635,031,449 ;4/01/2019 0:00
 590,114,795 ;19/12/2019 0:00
 432,044,757 ;30/04/2018 0:00
 750,541,149 ;24/02/2019 0:00
 674,806,001 ;8/09/2018 0:00
 460,358,348 ;19/06/2019 0:00
 393,274,755 ;16/11/2018 0:00
 337,523,970 ;31/05/2018 0:00
 863,119,362 ;6/07/2019 0:00
 1,025,198,715 ;1/05/2019 0:00
 246,327,156 ;15/05/2018 0:00
 664,976,970 ;20/01/2018 0:00
 364,251,668 ;1/06/2018 0:00
 363,656,606 ;8/02/2019 0:00
 269,552,828 ;26/09/2018 0:00
 1,793,585,313 ;24/03/2018 0:00
 209,279,256 ;10/04/2018 0:00
 251,367,365 ;23/08/2018 0:00
 356,938,742 ;5/06/2019 0:00
 355,323,462 ;22/01/2019 0:00
 244,917,870 ;24/09/2018 0:00
 269,762,946 ;10/09/2018 0:00
 531,033,305 ;19/12/2018 0:00
 809,886,230 ;25/08/2019 0:00
 351,010,818 ;30/10/2019 0:00
 260,098,731 ;27/09/2018 0:00
 336,812,777 ;19/11/2019 0:00
 303,062,045 ;6/02/2019 0:00
 671,547,893 ;21/07/2018 0:00
 784,442,678 ;30/03/2019 0:00
 543,865,017 ;20/12/2018 0:00
 456,169,967 ;30/04/2019 0:00
 503,002,214 ;12/10/2018 0:00
 290,326,527 ;5/02/2018 0:00
 311,560,730 ;16/05/2018 0:00
 731,098,977 ;13/04/2019 0:00
 583,090,134 ;3/01/2019 0:00
 803,867,877 ;29/09/2019 0:00
 412,695,188 ;8/07/2019 0:00
 736,005,591 ;29/04/2018 0:00
 305,256,098 ;13/03/2019 0:00
 380,337,983 ;2/02/2018 0:00
 317,768,565 ;7/05/2019 0:00
 747,290,318 ;23/11/2019 0:00
 544,067,874 ;16/12/2019 0:00
 897,873,171 ;3/11/2019 0:00
 754,750,430 ;27/01/2019 0:00
 933,401,826 ;4/08/2019 0:00
 750,965,441 ;26/08/2018 0:00
 440,727,476 ;16/01/2019 0:00
 370,942,764 ;18/10/2019 0:00
 261,623,906 ;29/05/2018 0:00
 270,430,722 ;9/05/2018 0:00
 802,393,139 ;22/12/2018 0:00
 304,826,120 ;7/06/2018 0:00
 336,024,390 ;24/01/2018 0:00
 461,988,083 ;13/12/2018 0:00
 282,605,354 ;14/05/2019 0:00
 524,620,677 ;4/01/2018 0:00
 365,685,269 ;9/07/2018 0:00
 435,633,506 ;29/11/2018 0:00
 332,849,834 ;2/10/2019 0:00
 747,235,304 ;4/11/2018 0:00
 611,496,930 ;22/09/2018 0:00
 289,719,581 ;2/05/2018 0:00
 683,577,405 ;27/12/2019 0:00
 434,272,425 ;28/06/2018 0:00
 309,991,497 ;19/11/2018 0:00
 402,687,227 ;24/05/2019 0:00
 224,783,361 ;28/05/2018 0:00
 627,755,613 ;17/02/2018 0:00
 341,992,311 ;11/04/2019 0:00
 889,960,236 ;7/08/2019 0:00
 280,910,928 ;7/03/2018 0:00
 420,171,381 ;28/11/2018 0:00
 403,752,138 ;18/07/2019 0:00
 260,528,009 ;3/05/2018 0:00
 322,952,174 ;17/07/2018 0:00
 734,361,003 ;26/10/2019 0:00
 310,967,859 ;23/01/2018 0:00
 862,492,085 ;8/09/2019 0:00
 834,838,535 ;30/09/2018 0:00
 421,875,465 ;15/03/2019 0:00
 715,999,133 ;21/01/2018 0:00
 478,024,772 ;10/10/2019 0:00
 281,756,015 ;17/09/2019 0:00
 528,895,352 ;14/12/2018 0:00
 275,268,237 ;26/04/2018 0:00
 412,919,421 ;11/07/2019 0:00
 683,887,346 ;3/03/2018 0:00
 1,003,045,116 ;15/12/2019 0:00
 294,254,930 ;18/02/2019 0:00
 285,182,847 ;1/11/2018 0:00
 416,340,342 ;23/08/2019 0:00
