VENTA;FECHA
552191427;2/12/2019 0:00
460762482;18/01/2019 0:00
331814342;16/07/2018 0:00
702655719;29/03/2018 0:00
817541603;20/10/2019 0:00
831786932;15/12/2018 0:00
379501224;29/08/2019 0:00
367820847;11/05/2018 0:00
738143319;19/08/2018 0:00
1278215175;24/12/2018 0:00
355819100;8/10/2018 0:00
653007426;7/01/2019 0:00
294195317;25/09/2019 0:00
504761636;12/07/2019 0:00
386081330;3/08/2018 0:00
710631200;18/02/2018 0:00
486515057;19/07/2019 0:00
562801149;26/06/2019 0:00
883732734;5/05/2019 0:00
890626106;13/10/2019 0:00
796940171;17/02/2019 0:00
335842283;22/08/2019 0:00
327681407;4/05/2018 0:00
457342136;4/10/2019 0:00
329657376;18/05/2018 0:00
497780414;9/12/2019 0:00
328332269;1/08/2018 0:00
700460985;1/06/2019 0:00
767988395;24/06/2019 0:00
652034396;31/12/2018 0:00
454249199;9/01/2019 0:00
274560296;23/09/2019 0:00
297068847;14/11/2019 0:00
304128410;14/06/2018 0:00
1074900759;12/05/2019 0:00
338073462;18/07/2018 0:00
372579998;5/11/2019 0:00
707673867;18/05/2019 0:00
651104705;3/02/2018 0:00
348845405;27/04/2018 0:00
692910608;22/07/2018 0:00
557808438;30/10/2018 0:00
258150989;20/02/2018 0:00
778310142;5/08/2018 0:00
231590247;13/11/2018 0:00
633069192;25/08/2018 0:00
414425789;6/08/2018 0:00
339768986;27/08/2019 0:00
566316468;28/03/2018 0:00
623300528;23/02/2019 0:00
446727501;17/05/2019 0:00
798672147;14/10/2018 0:00
502927269;6/07/2018 0:00
513178515;15/04/2019 0:00
796228493;3/06/2019 0:00
403984488;3/07/2018 0:00
759870777;4/02/2018 0:00
903830562;17/11/2019 0:00
309736725;26/08/2019 0:00
758288372;20/01/2019 0:00
799319597;10/03/2019 0:00
348955742;25/07/2019 0:00
631615416;21/06/2019 0:00
903930491;13/05/2018 0:00
668168877;27/10/2018 0:00
341631108;10/07/2018 0:00
384777354;20/11/2019 0:00
515120367;12/03/2018 0:00
427490079;20/06/2018 0:00
1053454707;16/06/2019 0:00
662594348;1/04/2018 0:00
714108819;1/01/2019 0:00
920702468;23/12/2018 0:00
341263475;21/08/2019 0:00
371351081;25/04/2019 0:00
675727529;30/03/2018 0:00
498340164;30/08/2019 0:00
722315832;2/02/2019 0:00
673453842;17/11/2018 0:00
268234340;13/05/2019 0:00
898782188;31/03/2019 0:00
868555145;8/07/2018 0:00
645175571;20/08/2018 0:00
604869738;21/12/2018 0:00
623902101;10/02/2018 0:00
760227405;13/07/2019 0:00
255619473;21/10/2019 0:00
264497688;23/10/2018 0:00
294792375;20/05/2019 0:00
375392348;22/11/2019 0:00
682626611;12/11/2018 0:00
319630382;20/02/2019 0:00
357288935;1/10/2019 0:00
297213594;26/07/2018 0:00
367463136;21/09/2018 0:00
734919569;8/04/2018 0:00
789827915;1/05/2018 0:00
687282105;26/12/2019 0:00
833343392;9/06/2019 0:00
658494854;19/10/2019 0:00
809958446;24/03/2019 0:00
277273572;2/04/2019 0:00
284136942;14/03/2018 0:00
257807928;18/10/2018 0:00
711162795;7/01/2018 0:00
945163427;23/03/2018 0:00
469345778;1/03/2019 0:00
400455513;17/01/2019 0:00
456496077;9/08/2019 0:00
635031449;4/01/2019 0:00
590114795;19/12/2019 0:00
432044757;30/04/2018 0:00
750541149;24/02/2019 0:00
674806001;8/09/2018 0:00
460358348;19/06/2019 0:00
393274755;16/11/2018 0:00
337523970;31/05/2018 0:00
863119362;6/07/2019 0:00
1025198715;1/05/2019 0:00
246327156;15/05/2018 0:00
664976970;20/01/2018 0:00
364251668;1/06/2018 0:00
363656606;8/02/2019 0:00
269552828;26/09/2018 0:00
209279256;10/04/2018 0:00
251367365;23/08/2018 0:00
356938742;5/06/2019 0:00
355323462;22/01/2019 0:00
244917870;24/09/2018 0:00
269762946;10/09/2018 0:00
531033305;19/12/2018 0:00
809886230;25/08/2019 0:00
351010818;30/10/2019 0:00
260098731;27/09/2018 0:00
336812777;19/11/2019 0:00
303062045;6/02/2019 0:00
671547893;21/07/2018 0:00
784442678;30/03/2019 0:00
543865017;20/12/2018 0:00
456169967;30/04/2019 0:00
503002214;12/10/2018 0:00
290326527;5/02/2018 0:00
311560730;16/05/2018 0:00
731098977;13/04/2019 0:00
583090134;3/01/2019 0:00
803867877;29/09/2019 0:00
412695188;8/07/2019 0:00
736005591;29/04/2018 0:00
305256098;13/03/2019 0:00
380337983;2/02/2018 0:00
317768565;7/05/2019 0:00
747290318;23/11/2019 0:00
544067874;16/12/2019 0:00
897873171;3/11/2019 0:00
754750430;27/01/2019 0:00
933401826;4/08/2019 0:00
750965441;26/08/2018 0:00
440727476;16/01/2019 0:00
370942764;18/10/2019 0:00
261623906;29/05/2018 0:00
270430722;9/05/2018 0:00
802393139;22/12/2018 0:00
304826120;7/06/2018 0:00
336024390;24/01/2018 0:00
461988083;13/12/2018 0:00
282605354;14/05/2019 0:00
524620677;4/01/2018 0:00
365685269;9/07/2018 0:00
435633506;29/11/2018 0:00
332849834;2/10/2019 0:00
747235304;4/11/2018 0:00
611496930;22/09/2018 0:00
289719581;2/05/2018 0:00
683577405;27/12/2019 0:00
434272425;28/06/2018 0:00
309991497;19/11/2018 0:00
402687227;24/05/2019 0:00
224783361;28/05/2018 0:00
627755613;17/02/2018 0:00
341992311;11/04/2019 0:00
889960236;7/08/2019 0:00
280910928;7/03/2018 0:00
420171381;28/11/2018 0:00
403752138;18/07/2019 0:00
260528009;3/05/2018 0:00
322952174;17/07/2018 0:00
734361003;26/10/2019 0:00
310967859;23/01/2018 0:00
862492085;8/09/2019 0:00
834838535;30/09/2018 0:00
421875465;15/03/2019 0:00
715999133;21/01/2018 0:00
478024772;10/10/2019 0:00
281756015;17/09/2019 0:00
528895352;14/12/2018 0:00
275268237;26/04/2018 0:00
412919421;11/07/2019 0:00
683887346;3/03/2018 0:00
1003045116;15/12/2019 0:00
294254930;18/02/2019 0:00
285182847;1/11/2018 0:00
416340342;23/08/2019 0:00
445123985;5/12/2018 0:00
808387533;15/07/2018 0:00
591094536;19/05/2018 0:00
355446047;22/03/2019 0:00
442517363;12/12/2018 0:00
278590752;23/10/2019 0:00
418258469;26/11/2019 0:00
640738020;8/01/2018 0:00
709878425;28/01/2018 0:00
873050016;18/08/2019 0:00
345020139;4/09/2019 0:00
526967169;27/06/2019 0:00
320358218;25/01/2018 0:00
342172013;13/06/2019 0:00
387857880;15/07/2019 0:00
292173758;31/07/2018 0:00
281107785;8/11/2018 0:00
227545640;14/08/2018 0:00
664358595;25/05/2019 0:00
659575667;28/07/2018 0:00
383734190;9/01/2018 0:00
847885932;25/11/2018 0:00
626777634;20/10/2018 0:00
358795688;20/09/2019 0:00
718005615;19/08/2019 0:00
499084626;12/12/2019 0:00
462601200;27/06/2018 0:00
379816184;30/07/2019 0:00
737181407;11/11/2019 0:00
355633220;3/09/2019 0:00
779535006;8/12/2018 0:00
230251800;3/04/2018 0:00
249593445;22/05/2018 0:00
671018549;24/11/2018 0:00
596291730;8/11/2019 0:00
634781478;6/10/2018 0:00
347235542;4/03/2019 0:00
251054838;22/04/2019 0:00
385643007;8/06/2018 0:00
723683882;30/12/2019 0:00
320953959;28/02/2018 0:00
284057555;7/11/2018 0:00
291946071;8/04/2019 0:00
977336016;30/06/2019 0:00
606521117;13/12/2019 0:00
227831793;8/05/2018 0:00
274460664;18/09/2019 0:00
320710841;19/03/2019 0:00
400544352;11/01/2018 0:00
406365408;31/08/2018 0:00
209037932;4/04/2018 0:00
252386837;14/02/2018 0:00
421374203;1/08/2019 0:00
349490514;5/03/2019 0:00
680838093;31/12/2019 0:00
890855645;6/10/2019 0:00
889060437;24/11/2019 0:00
250515503;22/10/2018 0:00
279704520;28/05/2019 0:00
811725777;11/05/2019 0:00
752131766;29/07/2018 0:00
491313915;2/08/2019 0:00
266259483;28/01/2019 0:00
309948857;8/05/2019 0:00
290031501;24/10/2019 0:00
275821308;19/09/2018 0:00
695148237;17/08/2019 0:00
425474696;31/07/2019 0:00
330591810;16/08/2018 0:00
255882921;22/10/2019 0:00
